Publisher,Headquarters,Est.,Notable games published,Notes,Active
Tin Man Games,"Warsaw, Poland",2012,"Starship Traveller, Fighting Fantasy Classics, House of Hell (Standalone), Appointment With FEAR, Choices That Matter: And The Sun Went Out",Low weight course finally.,1
Lucas Le Slo,"Tokyo, Japan",2006,"IFO, Alephant, Inner Tao",,1
Piranha Games,Singapore,2015,"Mechwarrior 5 Modding Toolkit, MechWarrior 5: Mercenaries Standard Edition",,1
Thunder Lotus,"Boston, USA",2014,"Spiritfarer®: Farewell Edition, Sundered: Eldritch Edition, Jotun: Valhalla Edition",Officer office store.,1
XTANK,"Seattle, USA",1990,Life of trophy,,1
HOOK,"Amsterdam, Netherlands",2010,"Unholy, The Magical Mixture Mill, Madshot: Road to Madness, Madshot, KINGDOM of the DEAD",,0
10101 Software,"Berlin, Germany",1985,"iFactor, Forgotten Souls, Trends",,1
Righteous Hammer Games,"Gurugram, India",1981,"Solitairica, ZOR: Pilgrimage of the Slorfs",Physical wife seat feeling reflect lot suffer high.,1
Mirari & Co.,"Kyoto, Japan",1988,Dark Light,Though five laugh will kind other.,1
CubeGameAisa,"Gurugram, India",1991,"破东荒 - Chaos Of East, 回门 Way Back Home",Station office today consumer action begin.,0
Paradox Interactive AB,"Melbourne, Australia",2011,Surviving the Aftermath,,1
Azerion,"Los Angeles, USA",1983,Poker World - Single Player,,1
zoocros,"Tokyo, Japan",2003,"Seirei, REGOLA, Maidesktop, Summer Girl",,1
34BigThings srl,"Seattle, USA",2015,"Helheim, Super Inefficient Golf, Redout: Space Assault, Mars or Die!, Goblin Squad - Total Division",Now lay easy.,1
Cooper Bruchez,"Seoul, South Korea",1993,JAAHG: The Crows Cry,Individual data necessary usually pretty Congress.,1
10ft Games,"Tokyo, Japan",1991,The Red Front,Weight him after seem responsibility seat.,1
Tomorrow Corporation,"Stockholm, Sweden",1995,"The Captain, Human Resource Machine, 7 Billion Humans, Little Inferno",,1
brimselGames,"Toronto, Canada",1984,"Light Speed Ride Out, Rogue Door Defense",,1
IWAHDK LTD,"Montreal, Canada",1988,Stream to 3D,,1
Cristian Manolachi,Singapore,2006,The Zombie Smasher,,1
Purple Tree,"Shanghai, China",1995,Golazo,,1
16air,"New York, USA",2010,"蕾米的挑战 Remilia's challenge, The Note of Red Evil, 漫步者 The Walker, 捕快阿七：病镇 Bailiff A Qi:Sick town, 恶魔契约者",,0
Bonus Stage Publishing,"Amsterdam, Netherlands",2020,"Local News with Cliff Rockslide, Shadow of the Guild, Triple Take, Billy Bumbum: A Cheeky Puzzler, Redgar: The Space Viking",,1
Jackbox Games,"Seoul, South Korea",1981,"The Jackbox Party Pack, The Jackbox Party Pack 5, The Jackbox Party Pack 2, Jackbox Party Pack 3, The Jackbox Party Pack 6",,0
Pharos Interactive,"Kyoto, Japan",1980,Kredolis,Generation job either clear themselves.,1
Game Kombinat,"Seoul, South Korea",2008,"Universe Balancing Bureau, Four Seals",,0
Remote Alchemy Studios,"Los Angeles, USA",2019,Moonphase Pass,Remember less realize minute others role.,0
Sweety Cute Studio,"Montreal, Canada",2000,"Furry Woof, Cute Dark Elves, Furry Nya, Autumn and Girls, Glasses and Girls",,1
Schmidt Workshops,"Montreal, Canada",2013,"Islands of the Caliph, Star Explorers, Rocket Blasters, Paradox Vector, Anomalies",,1
Mandable Games LLC,Singapore,1996,Keali,,1
Roar Entertainment,"Gurugram, India",1981,Wizhood: The Epic of Freedom,Which across reduce college popular picture line soon.,1
Codeloader,"Toronto, Canada",2000,Bluejay's Quest,,0
Troca O Jogo,"Montreal, Canada",1991,Escape From This Planet,,1
Piccolo,"Shanghai, China",1993,Arise: A Simple Story,West their take trouble time enough safe amount.,1
Subset Games,"Paris, France",2009,"Into the Breach, FTL: Faster Than Light",,1
Sabrina Aridi,"London, UK",2015,"Square Head Zombies - FPS Game, Jewel Puzzle Click, Pixel Shooter, Barbarian Souls, Alone in the War",Fund summer relationship probably attack particular.,1
Focus Entertainment,"Melbourne, Australia",1983,"Silverfall, A Plague Tale: Requiem, Void Crew, Space Hulk: Deathwing, Space Hulk: Deathwing Enhanced Edition",Manage explain human rate ready particularly.,1
Minimol Games,"Stockholm, Sweden",2000,"Knight Swap 2, FLATLAND Vol.1, Blackjack Hands, Poker Hands, Zen Chess: Mate in Two",,1
Solidplasma Studios LLC,Singapore,2000,"Bedlamball, Farmageddon: A Cattle Royale, Respawn Man",,1
Clecota Games,"Montreal, Canada",1984,"Don't Go into the Woods, Empire, Mystica",,1
yeswecamp,"Seoul, South Korea",1990,"Perfect Heist, Deep Space Battle Simulator, Perfect Heist 2",,1
PlayStation PC LLC,"Berlin, Germany",2009,"HELLDIVERS™ Dive Harder Edition, The Last of Us™ Part I, Marvel’s Spider-Man: Miles Morales, Days Gone, Returnal™",Civil history buy above allow stay short gas.,1
Perfect World Entertainment Inc.,"Berlin, Germany",1993,Remnant: From the Ashes,,1
玩家QQ群：617620911,"Seoul, South Korea",1985,混沌骑士,,1
Maximum Games,"Shanghai, China",2014,"The Golf Club 2™, Lost Words: Beyond the Page, Dead Alliance™, Road Rage, Fobia - St. Dinfna Hotel",,1
IR Studio,"Stockholm, Sweden",1980,"Lovely Brides, Sugar Girls, Neon Girls, Nyasha Land of Elves, Girls in Pajamas",Leg none force maybe simple sing.,1
Léo-Paul Sévin,"Amsterdam, Netherlands",1997,Perpetual Dream,,1
Vlambeer,"San Francisco, USA",2012,"Super Crate Box, Nuclear Throne, GUN GODZ",Public option style goal.,1
Playstack,"Berlin, Germany",1990,"The Last Faith, Rise of the Slime, Rise of the Slime: Prologue, Dick Wilde, Doctor Who: The Edge Of Time",,1
新倾国之怒,"Gurugram, India",2016,新倾国之怒,,0
kovalevviktor,Singapore,2016,"Kly-Kly, Blastocitos, Yum Collector, Cyber Hunter: Awakening, Deadly Racing Duel",Case contain book best environment.,1
G-MODE,"Los Angeles, USA",1999,"G-MODEアーカイブス49 グレゴリーホラーショー, G-MODEアーカイブス+ 探偵・癸生川凌介事件譚 Vol.12「泣かない依頼人」, G-MODEアーカイブス+ 女神転生外伝 新約ラストバイブルIII 夢幻の英雄, G-MODEアーカイブス+ 女神転生外伝 新約ラストバイブルII 始まりの福音, G-MODEアーカイブス+ 探偵・癸生川凌介事件譚 Vol.8「仮面幻影殺人事件」",Recent wait however them agent decide.,0
ARIKA,"Tokyo, Japan",2015,FIGHTING EX LAYER,Follow start election nice.,1
Aurora Punks,"Shanghai, China",1994,"1993 Space Machine, Hoplegs, Bullet Casters, Ooglians",Minute know culture now meeting son Congress.,1
Landfall Games,"Paris, France",2014,Totally Accurate Battle Simulator,,1
Three Fields Entertainment,"New York, USA",2004,"Dangerous Golf, Danger Zone, Danger Zone 2, Dangerous Driving",,1
Anvelopa,"Stockholm, Sweden",1999,Mission Mars,Off foreign quality whose.,1
Tsukuyomi,"Toronto, Canada",2019,D-World Gate,,0
Snail Games USA,"London, UK",1992,"ATLAS Mod Kit, Conquest of Empires, Dark and Light, ZCREW（Z字特遣队）, Fear the Night - 恐惧之夜",Relate cold scene team think region establish hour.,1
Outerloop Games,"Seattle, USA",2008,Falcon Age,,1
Oshikuru.com,"Berlin, Germany",1999,Baalzebub,,1
Ultimate Universe Studio,"New York, USA",1986,UniverseV: Star Domination,,1
Andy Law,"Montreal, Canada",1996,"Crazy Flasher Series 2021, 闪客快打8武装行",Pick suggest fast including.,1
SceneSoft,"Seattle, USA",2007,Hum Drum Experiences,,1
Interama - Interactive Technology,"Amsterdam, Netherlands",1987,Fairies vs. Darklings: Arcane Edition,,1
Illunsoft,"Kyoto, Japan",2014,"Juno 06, Magellania",,1
Riot Forge,"Seattle, USA",2016,"Hextech Mayhem: A League of Legends Story™, CONVERGENCE: A League of Legends Story™, Song of Nunu: A League of Legends Story, Ruined King: A League of Legends Story™, The Mageseeker: A League of Legends Story™",Sign bad language purpose our seven.,0
Serenity Forge,"London, UK",2014,"Death's Gambit: Afterlife, Mystic Melee, A Case of Distrust, Lifeless Planet: Premier Edition, Four Sided Fantasy",,1
Felipe Oliveira Cardozo,"Amsterdam, Netherlands",1987,The Legend of Cesar,,1
Hi-Rez Studios,"Shanghai, China",1992,"Rogue Company, Realm Royale, Paladins®, Paladins, SMITE",,1
CHETRUSCA SOFTWORKS SRL,"Paris, France",1982,"Infantry Assault: War 3D FPS, Mortal Street Fighter",,1
flashdim,"Berlin, Germany",1987,Kin's Chronicle (Development Halted),,1
Unit 2 Games,"Melbourne, Australia",2013,Crayta,Really four ask relationship read guy.,1
Redsquirrel Tribute Games,"Boston, USA",1980,Let's Go!,,1
Rectangle Eyes,"Paris, France",1995,Belongings,,1
The Fullbright Company,"London, UK",1996,Gone Home,Single try sport employee husband.,1
Digital Dreams Entertainment LLC,"Seattle, USA",2015,Carnivores: Dinosaur Hunter Reborn,Character field across same myself should.,0
Frontier Foundry,"New York, USA",1984,"Struggling, RollerCoaster Tycoon 3 Complete Edition, FAR: Changing Tides, Lemnis Gate, The Great War: Western Front™",,1
Gameforge 4D GmbH,"London, UK",2005,"Trigon: Space Story, Swords of Legends Online, NosTale - Anime MMORPG, I See Red, Kingdom Under Fire 2",,1
FreezeNova.Games,"Kyoto, Japan",2004,"Masked Forces 3, Masked Forces 2: Mystic Demons, Rebel Forces, Fantasy Battles, Sniper Commando Attack",,1
ARMSCor Studios,"Amsterdam, Netherlands",2001,GO-4-Soldier-1,,0
AonA,"Shanghai, China",2002,まなことひとみのばわい,,1
Headup GmbH,"Amsterdam, Netherlands",2014,"Scarlet Hood and the Wicked Wood, Pumpkin Jack, The Textorcist: The Story of Ray Bibbia",,1
tinyBuild,"Toronto, Canada",1983,"Secret Neighbor: Hello Neighbor Multiplayer, Road to Ballhalla, Hello Neighbor Alpha 2, Hellpoint: The Thespian Feast, Startup Panic",,1
Breda University of Applied Sciences,"Seattle, USA",1995,"Spellbound Spire, Til Nord, Melodramatica, Ornament Express, P.A.I.N.T.",,1
Free Range Games,"Amsterdam, Netherlands",1993,"Labyrinth, Spelldrifter",Across social least view take knowledge heart.,1
Bossa Studios,"Amsterdam, Netherlands",2012,"Bossa Presents, Worlds Adrift, Surgeon Simulator, I Am Bread, Surgeon Simulator 2",Various war history may ready member.,1
Herringbone Games,"Boston, USA",1987,Stacks On Stacks (On Stacks),,1
MrFatcat,"Melbourne, Australia",1980,"Chupacabras: Night Hunt, MEDIEVAL KNIGHTMARE",Fine candidate stay travel accept.,1
Versus Evil,"Stockholm, Sweden",2002,"Cardpocalypse, Dragons and Titans, The Banner Saga: Factions, Toren, Sockventure",,0
Flip It,"Paris, France",1990,"Tiny Stories: Santa Closes, Rolling Hamster",Special away material answer listen stuff.,1
Isto Inc.,"Toronto, Canada",2016,"Disjoint, Atrio: The Dark Wild",,1
Ghost Productions,"Seattle, USA",2017,Ghost Productions: Wraith VR Total Knee Replacement Surgery Simulation,Put benefit another phone ready them top class.,1
Neon Doctrine,"Berlin, Germany",1983,"SINNER: Sacrifice for Redemption, Devilated, Hazel Sky, The Count Lucanor, Yuppie Psycho: Executive Edition",,1
Afufu Games,Singapore,1998,What's your emergency,,1
Hentai works,"Melbourne, Australia",2007,"Hentai EroElf, Hentai Nurse, Hentai Miko, Hentai BodySuit, Hentai BunnyGirl",,1
Adam Robinson-Yu,"Amsterdam, Netherlands",2000,A Short Hike,,1
Games Made Simply Enterprises,"Gurugram, India",1996,Extra Terrestrial Nation,,1
Dylan Loney,"Tokyo, Japan",1989,Words for Evil,,1
Red Team Games,"Kyoto, Japan",1998,"Cards and Castles 2, Cards and Castles",,1
PID Games,"Seattle, USA",2008,"Blon, PictoQuest, Heck Deck, Guild of Ascension, Bury Me, My Love",,1
Maple Whispering Limited,"Berlin, Germany",1992,"Tiny Lands, The Shape of Things, Streets of Red : Devil's Dare Deluxe",Democratic dream management image be popular.,1
Brace Yourself Games,"Los Angeles, USA",1994,"Industries of Titan, Godless, Super Raft Boat Together, Cobalt Core, Phantom Brigade",,1
Forever Entertainment S. A.,"Kyoto, Japan",2005,"Goetia, Binarystar Infinity, Risky Rescue, Teddy Floppy Ear - Mountain Adventure, Zombillie",Rather decision including group administration smile.,1
Apex Games,"Seoul, South Korea",2011,Korlax Escape!,,1
Lupus Studios Limited,"Paris, France",2012,"Journal, the white chamber, Kairo, Cosplay Maker",Support mean style show see whose.,1
AUX-IN Games,"Shanghai, China",1983,Rogue Rocks,Will chance tonight administration billion get.,1
Mudvark,"Berlin, Germany",2007,Rituals,Herself sign law month hand.,1
Gaijin Entertainment,"Seoul, South Korea",1999,"Wings of Prey, CRSED: F.O.A.D.",,0
Snowman,"Montreal, Canada",2018,"Skate City, Where Cards Fall, The Alto Collection",Least letter truth century consumer just.,1
HH-Games,"London, UK",2014,"Fruitlockers Reborn! 2, Mundus - Impossible Universe 2, Darkheart: Flight of the Harpies, Christmasjong, Soccer Cup Solitaire",Foreign require case stage thank.,1
HandyGames,"Tokyo, Japan",1981,"Townsmen - A Kingdom Rebuilt, 15 Days, Stunt Kite Masters VR, Lock's Quest, Panzer Elite Action Gold Edition",,1
Runic Games,"Melbourne, Australia",1996,"Hob, Torchlight, Torchlight II",Various table hand write book green.,1
Santa Ragione,"Seattle, USA",2009,"Mediterranea Inferno, Wheels of Aurelia, Saturnalia, Milky Way Prince – The Vampire Star, MirrorMoon EP",,1
Panda Studio,"Paris, France",1992,Cruel Arena,,1
XGen Studios,"Melbourne, Australia",2014,"The Low Road, Super Motherload, Defend Your Castle, Stick Arena, Stick RPG 2: Director's Cut",Each certainly because apply.,1
Slippy Floor,"Tokyo, Japan",2017,"Gigachad Survivals, Sex City, Sex Apocalypse, Sex Simulator, THE FANGS HUNTRESS",Practice seem strategy north.,1
Super.com,"Montreal, Canada",1983,"Wonhon: The Beginning, Wonhon: Prologue, Retro Machina: Nucleonics, Wonhon: A Vengeful Spirit, Broken Lines",,1
Thap Tam Studio,"Paris, France",2015,Hogvalord,,1
Marcelo Barbosa,"Paris, France",1998,"Skatemasta Tcheco, Tcheco in the Castle of Lucio",,1
Burgos Games,"Stockholm, Sweden",1994,"Neko Ghost, Jump!",,1
Vais,Singapore,2012,Geometry Runner Online,,1
Mecha Studios,"New York, USA",2010,Neon City Riders: Super-powered Edition,Field item laugh reveal.,0
RoKo0 (Roman Konyukhov),"Melbourne, Australia",2014,Dream Car Builder,Skin across see likely plan person know.,1
Alien Pixel Studios,"Melbourne, Australia",2010,"Unbound: Worlds Apart, Polandball: Can into Space!",,1
Defiant Development,"London, UK",2012,"Hand of Fate 2, Hand of Fate",,1
Rubika Supinfogame,"London, UK",1990,"Cop Academy, Lights Orb, Effigy : The Descent, Jivana, Live Adventure",Receive half during arm push great seven.,1
Odooh Games,"Seoul, South Korea",1996,"Floating Islands of Nucifera, Weaponry Dealer VR, Dungeon Puzzle VR - Solve it or die, RPG NPC Simulator VR",Civil finally maintain have until service.,1
Arzola's,"Montreal, Canada",2005,"PEG, KNIGHTS",Three relationship huge respond sort others.,1
Villain Role,"Gurugram, India",1997,"Tower of Origin/起源之塔~地底的欲望探险之旅~, Tower of Origin2-Worm's Nest",,1
SP game,"Stockholm, Sweden",2002,Sky Puzzle,Could traditional form drop heavy respond site.,1
Jinwind,Singapore,2008,英雄之旅,,1
NW Games,"Tokyo, Japan",2016,PATIENT,,1
Eremite Games,"Kyoto, Japan",2011,Against the Storm,,1
Highlight Visual Effects Development,"Boston, USA",2002,Roach Killer,College goal hair crime much relationship decide win.,1
Systemic Reaction™,"New York, USA",1982,"Ravenbound, Second Extinction™, Generation Zero®",Position around card imagine arrive fund opportunity month.,1
Hippopo Entertainment,"Paris, France",2018,"Make Route: Escape the police, Make Route",,1
Brewsterland Studios,"San Francisco, USA",2010,"Defenders of Tetsoidea Academy, Shadow of the Black Dragon, Fateholder Quest, Slums of Tetsoidea, Existential Kitty Cat RPG",Mind man discover coach Congress case drop.,1
Staring Skull Studio,"Toronto, Canada",1995,Candyboy,,1
Aspyr,"Gurugram, India",2012,"Torn, Heads Up! Phones Down Edition, Morkredd, Call of Duty: Black Ops - Mac Edition, MythForce",,1
Sergio Stuff,"Seattle, USA",1993,Super Sonday,Time keep significant player speech sister truth government.,1
TeamKill Media LLC,"Melbourne, Australia",1996,Kings of Lorn: The Fall of Ebris,,1
Loolust,"Los Angeles, USA",1985,"69 Andariel Hot, 69 Berta Hot, 69 Summon Succubus, 69 Penny Hot, 69 Hitomi Love",,1
Aspyr Media,"New York, USA",1993,InnerSpace,,1
Majesco Entertainment,"Gurugram, India",2013,"Drake of the 99 Dragons, Costume Quest 2, Romans From Mars, Iridion 3D, Iridion II",,1
QAQ Studio,"Tokyo, Japan",1995,"Moka Future, The Resurrection Of Amelia : Across two worlds",,1
Team Meat,"Amsterdam, Netherlands",1985,"Super Meat Boy Forever, Super Meat Boy",Effect now age resource start head.,1
Creative Oven Studio,"Tokyo, Japan",1993,Liberation Special Forces,,1
Unbalanced Equations,"Paris, France",2008,The Adventurer's Domain Online,,1
Frontier Developments,"Montreal, Canada",2015,"Elite Dangerous, Jurassic World Evolution 2, Warhammer Age of Sigmar: Realms of Ruin, F1® Manager 2023, LostWinds",,1
Winged Cloud,"San Francisco, USA",1991,"Sakura Succubus 5, Sakura Succubus 3, Sakura Fox Adventure, Sakura Space, Sakura Succubus",Pattern charge left politics each.,1
Fourfold Games,"Warsaw, Poland",1988,Xenomarine,,1
Vania Games,"San Francisco, USA",2007,SENTINEL,,1
DLsite,"Gurugram, India",1989,"BlazingAngel Mistletear, Kunoichi Tsubaki [X-rated Ver.], MarisaLand Legacy, Mavi's Journey, Tempest of the Heavens and Earth",,1
RedStarGames,"Seoul, South Korea",2002,DICHOTOMY,,1
Roencia Game Creators,"Tokyo, Japan",1984,"Indie Graphics Bundle - Royalty Free Sprites, Omni Link, Character Creator - Graphics Pack, Space Galaxy - Graphics Pack, Crypterion",,1
Critical Games,"Gurugram, India",1982,"Tales Across Time, 8-Bit Adventures 2, 8-Bit Adventures 1: The Forgotten Journey Remastered Edition",,1
Ten Hut Games,"New York, USA",2018,Q.U.B.E. 2,,1
上海游七网络科技有限公司,"Kyoto, Japan",2016,7D Game （VR for VIVE）,Those image rule effect able range police.,1
Ripstone,"San Francisco, USA",2012,"The Spectrum Retreat, Chess Ultra, Knytt Underground, Ironcast, Snooker 19",,1
Giorgi Abelashvili,"Shanghai, China",1983,"Alter World, Drift King, Circularity, SLICE",,1
Nival,"Gurugram, India",1983,"Etherlords, Blitzkrieg 2 Anthology, Prime World: Defenders, Prime World: Defenders 2, King’s Bounty: Legions",,1
Team17 Digital Ltd.,"New York, USA",1998,"Ageless, Neon Abyss",Approach chair piece here smile join.,0
Ubisoft Entertainment,"Shanghai, China",1986,"Might & Magic Heroes 3, Riders Republic, Heroes® of Might & Magic® III - HD Edition, Assassin’s Creed® Chronicles: India, Assassin’s Creed® Chronicles: Russia",Type responsibility adult try guy high.,1
Hello Games,"Seattle, USA",2013,"Joe Danger, No Man's Sky, The Last Campfire, Joe Danger 2: The Movie",,1
Lupiesoft,"Montreal, Canada",2010,The Reject Demon: Toko Chapter 0 — Prelude,Spend trip bar similar ahead table drop.,1
Quantum Quiver Games,"Berlin, Germany",2008,"Color Splash: Dogs, Color Splash: Cats, Neon Fantasy: Cats, Color Splash: Birds, Neon Fantasy: Monkeys",Gun PM they parent.,1
Rebound CG.,"Paris, France",1982,Tennis Manager 2021,,1
PleasingFungus Games,"Stockholm, Sweden",1990,"Silicon Zeroes, Manufactoria 2022",,1
Pixel Plant LLC,"Melbourne, Australia",1980,The Backrooms Simulator,,1
Valkeala Software,"Kyoto, Japan",1998,"Fallen Ninja, Nash Racing: Pursuit, Naked Hero, Music Man, Super Bear: Hunt for the lost beer",Big year the trip hospital happy medical.,1
Butterscotch Shenanigans,Singapore,1983,"Levelhead: Platformer Maker, Crashlands, Levelhead",Argue side style west smile.,1
E.144,"Seoul, South Korea",2020,Yavi,You itself any civil evidence agree.,1
Han Zhiyu,"Boston, USA",2014,Chaos Sector 混沌宙域,,1
UY Studios,"Los Angeles, USA",2002,"Dragon Blast - Crazy Action Super Hero Game, Legend Of Maratha Warriors, Velocity Legends - Action Racing Game",,1
Yak & Co,"Seattle, USA",1980,"Agent A: A puzzle in disguise, Down in Bermuda",,1
Ludeon Studios,"Warsaw, Poland",2005,RimWorld,,1
DreamsSoftGames,"Gurugram, India",1991,"Breakout Invaders, Piggy Princess, Match 3 Revolution, Tompi Jones, Shopping Tycoon",,1
Crytek,"Stockholm, Sweden",2010,"Crysis Remastered, CRYENGINE - Wwise Project DLC, Hunt: Showdown, Ryse: Son of Rome, CRYENGINE - Sample Assets",,1
Simply Squared,"New York, USA",1983,Glory Kingdom,,0
Bayam Software,"San Francisco, USA",1995,BadBee,,1
Cryodragon,"London, UK",2017,Brick Blaster,,1
Camshaft Software Ltd,"New York, USA",2002,"Automation - The Car Company Tycoon Game, The Cyclist: Tactics",,1
DAX Entertainment,"Melbourne, Australia",2008,"You Can(Not) Survive, Utopia",,1
Psyonix LLC,"Seattle, USA",2012,Rocket League®,,1
Sloclap,"New York, USA",2001,Sifu,Remain top its age environment major at.,1
Springloaded,"Berlin, Germany",1981,"Campaign Clicker, Hiragana Pixel Party, GORSD, The Legend of Evil",Page improve offer interview impact.,1
Alternative Software Ltd,"San Francisco, USA",2014,"My Family Creative Studio, Rugby Champions, Spud!, Rugby League Team Manager 2015, MMA Team Manager",,1
SeedWall,"San Francisco, USA",2006,"Paranormal Motel, Inglorious Waifu VS Nazi Zombies, Haunted Mansion, Hentai no Hero, Daenerys doesn’t want Hentai",,1
Koch Media,"Seoul, South Korea",2014,"CyberLink ScreenRecorder 3 Deluxe, Clid The Snail, Eisenbahn X, CyberLink PowerDVD 18 Standard, Railroad X",,1
Antiidelay,"Boston, USA",1998,F.I.S.T.: Forged In Shadow Torch,,1
Ubisoft,"San Francisco, USA",1989,"Tom Clancy's Splinter Cell Chaos Theory®, Rainbow Six Siege Standard Edition, Rocksmith® 2014 Edition - Remastered, Werewolves Within™, Anno 2205™",,1
Cory Green,"Amsterdam, Netherlands",1996,Rebellion Again,Young road sound kind.,1
Team Colorblind,"Stockholm, Sweden",1992,Aztez,Campaign interest action fact tax go my operation.,1
INDIECN,Singapore,2009,"我来自江湖 From Jianghu, The Impure, Big Bia, Shanhe, LEGIONCRAFT",,0
Pixel Prototype,"Amsterdam, Netherlands",2015,Pixel Petkeeper,,1
Capybara Games,"Berlin, Germany",1980,"Critter Crunch, Grindstone, Superbrothers: Sword & Sworcery EP, BELOW, Super Time Force Ultra",Finally behind positive watch reveal.,1
Yume Creations,"Kyoto, Japan",1993,"Aozora Meikyuu, Yume Memory, Yume Puzzle, Yozora Rhapsody, Apprehend;Girlfriend",Body light commercial cold.,1
SMU Guildhall,"Berlin, Germany",1981,"Puzzle Box Palace, AGRYOS: Recovering Eden, Tex-Mechs, HaberDashers, SeaFeud",,1
Stray Fawn Studio,"Gurugram, India",2002,Niche - a genetics survival game,Night raise campaign point officer.,1
Game Mechanic Studios,"Seattle, USA",1995,Wizards: Wand of Epicosity,,1
moBack,"Amsterdam, Netherlands",2008,Perplexigon,Goal understand sound direction some.,1
Kjoeb,"San Francisco, USA",1981,"Eggy, Gum Ball Run",Ask nothing growth where maintain hospital.,1
Natrix Games,Singapore,2002,Project Vostok: Episode 1,,1
Giant Games,"Kyoto, Japan",1987,"Ring the City, 篮球计划 Project Dunk, 月圆之夜 (Night of Full Moon)",,0
Sokpop Collective,"Paris, France",1990,"Lairchitect, Flipper Volcano, Chatventures, Featherfall, Soko Loco Deluxe",,1
Wonderstruck,"Berlin, Germany",1999,"Boundless, The Marvellous Miss Take",,1
Ceiba Software and Arts,"New York, USA",2009,Voxel Blast,To though how method upon.,1
Strategy First,"Seoul, South Korea",2006,"Galactic Dreams, Big Mutha Truckers 2, Fleet Command, Dangerous Waters, Demonlisher",Least sometimes investment second.,1
Phr00t's Software,"San Francisco, USA",2000,"8089: The Next Action RPG, Spermination: Cream of the Crop, ROMBIE, FPS Infinite, 5089: The Action RPG",Night instead several.,1
SOLOABLE GAMES,"Los Angeles, USA",1996,Tuber`s Run,Machine seem discuss heart hope doctor add.,1
Suspicious Developments,"Warsaw, Poland",1997,"Gunpoint, Floating Point, Heat Signature, Morphblade",,1
Massive Damage,"Seattle, USA",2000,Halcyon 6 Starbase Commander,,1
BattleByte,"Stockholm, Sweden",2015,Expert Rifleman - Reloaded,,1
Type B Negative,"Gurugram, India",2000,"Moon Bullet, DoFi",Report wind it term official least.,1
Team Glasses,"Amsterdam, Netherlands",2017,Effugium,,0
Thermite Games,"Warsaw, Poland",2004,"Tales of the Neon Sea, Nobody - The Turnaround, Castle Morihisa, Legendary Creatures 2, Far Away",,1
SNK,"San Francisco, USA",2017,SAMURAI SHODOWN,,1
Codename Entertainment,"New York, USA",2003,Idle Champions of the Forgotten Realms,,1
HeroCraft,"Montreal, Canada",2003,Gravewood High,Front bring Congress school vote before difficult business.,0
Bloober Team S.A.,"Tokyo, Japan",1987,The Medium,Station consumer return write speak.,1
Tuomo's games,"Tokyo, Japan",1985,"Helga: Euphorium's Song, Strangers of the Power, Border of her Heart, The Legend of Protey, Boobsle",Seven four field somebody medical heavy respond.,1
Akeshy,"New York, USA",1980,Poopy Philosophy,,1
Flyhigh Works,"San Francisco, USA",2001,"Spider Solitaire F, Alchemic Dungeons DX, SHINOBI NON GRATA, 大分・別府ミステリー案内  歪んだ竹灯篭, Mercenaries Rebirth: Call of the Wild Lynx",,1
Maint,"San Francisco, USA",2018,Imaginarium,,1
Naie.Sorachi,"Kyoto, Japan",2002,"Venandi In Silva, RifleRange",,1
Sergei Minin,"Gurugram, India",1986,Mistfal,,1
RockGame S.A.,"London, UK",1987,"Cafe Owner Simulator: Prologue, Scrapnaut, Cowboy Life Simulator: Prologue, DESTRUCTURE: Among Debris, Technicity: Prologue",Someone leader tree own letter drop.,1
COGNOSPHERE PTE. LTD.,"Los Angeles, USA",2006,N0va Desktop,Say loss society sport even hit land.,1
Playstack Ltd,"Melbourne, Australia",1984,Mortal Shell,Account letter reality scene picture knowledge.,1
No More Robots,"Shanghai, China",1983,"Slayers X: Terminal Aftermath: Vengance of the Slayer, Let's Build a Zoo, Soccer Story, Spirittea, Family Man",Base cost attack child she song summer.,1
Day Dreamer Games,"Montreal, Canada",2004,"Apastron, Otter Space Rescue, Super Hipster Lumberjack, Entodrive, American Eristics",Section sell friend husband week continue no.,1
Nightstuff Games,"San Francisco, USA",2019,The Escape: Together,,1
Paulo Henrique Pedrassi,"Los Angeles, USA",1987,"Summon Masks, Reach Coin",Speech section leg movie various.,1
Untold Tales,"Los Angeles, USA",1981,"Aspire: Ina's Tale, Arise: A Simple Story, Flame Keeper, Golf Club Wasteland, Bang-On Balls: Chronicles",,1
Bitlock Studio,"Los Angeles, USA",2008,"Season Up, Pet Puzzle, Thirty Two, Tactical Operations, Find Out",,1
Dave Kap,"Montreal, Canada",1996,IncrediMarble,,1
A9019,"Warsaw, Poland",1989,快乐小家 Home Sick,,1
Pandita Studio,"Warsaw, Poland",2009,Porcelana,,1
Boogygames Studios,"San Francisco, USA",2011,"Business Tycoon Billionaire, Sliding Puzzle Deluxe The Classic, Anime Jigsaw Puzzles, Norwegian Jigsaw Puzzles, Fast Typing Master",,1
Entry Studios,"Gurugram, India",2020,Frightened,,1
Covid Cowboys,"Shanghai, China",2020,Rust 'n Dust,,1
Nocturnal Sheep,"Kyoto, Japan",2003,Vaporspace,,1
3D Realms,"San Francisco, USA",2010,"The Kindeman Remedy, Bombshell, RIPOUT, CULTIC, ZIQ",,1
MeRo Games,"London, UK",2017,ColorCode,,1
iHeartMedia,"Montreal, Canada",2017,"iHeart: Radio, Music, Podcast‪s‬",,1
